invoice_number,imported_as_packages,invoice_raw_imported
7E8036374,25,66
7F4221374,9,30
7F9302374,79,115
7F9632374,0,2
7R1R00374,418,1176
7R3R98374,0,1
7X7083374,114,436
7Y04E9374,208,508
80F1R7374,3,12
818382374,325,911
82298W374,15,52
824WV4374,17,79
8283E7374,331,1044
843904374,92,238
84VE76374,41,98
859784374,13,50
86392W374,1372,3530
867890374,53,108
011706374,56,164
01F1E1374,222,525
01X177374,13,46
02Y9R9374,13,52
03358A374,25,66
035102374,4,15
05010E374,76,253
0507WF374,328,1243
056E09374,158,570
068FX2374,0,1
0780Y7374,1903,4703
07F233374,7,34
07V433374,25,60
08F390374,21,62
09W856374,375,1043
0A2R17374,105,342
0E0W66374,1080,3464
0X799R374,21,69
11Y979374,1974,6832
141R84374,67,163
150927374,191,470
15507W374,0,1
15EA28374,50,172
1631AA374,4,15
1654A9374,320,685
168Y4W374,516,3614
16V653374,44,124
17X31V374,8,22
1891FF374,16,43
198372374,0,3
1A494V374,53,156
1R21V6374,120,271
1VW112374,99,101
1Y015A374,1,3
211667374,155,251
221F02374,42,128
248E54374,452,901
2694E3374,225,440
26F25R374,101,374
275W00374,374,1444
276287374,110,285
27AR20374,897,3054
2A276X374,0,2
2E164W374,391,866
2E165W374,22,57
2V750F374,15,64
2X398X374,188,652
30A6V9374,56,92
31RW06374,2,14
324AR9374,0,1
32900V374,1201,4090
3368R3374,69,192
35EE07374,4,21
367559374,21,69
36XW43374,33,100
373516374,30,93
392VE0374,16,42
3991FF374,0,1
399R2F374,0,1
3R926V374,35,119
3V263A374,6,25
3W5W54374,29,85
3X4F19374,0,1
3YY339374,32,94
4136A6374,63,146
433375374,85,201
44V2Y4374,2,6
45W0F0374,33,65
472W95374,26,77
493F09374,45,102
4F3575374,104,209
4F495E374,140,428
4R2A61374,94,265
4Y45A8374,22,76
4Y61R2374,203,600
525W87374,0,1
529VF7374,12,29
531134374,415,1041
532575374,3,11
557883374,0,1
557909374,0,1
559R65374,58,129
563860374,311,1962
56V6Y2374,2400,6090
57837X374,22,60
58R101374,1,3
58R1E8374,12,32
58R1X7374,0,1
58R250374,1,2
58RF55374,0,4
58RF62374,12,36
58RR62374,0,1
58RR63374,41,98
58RY57374,3,9
59473R374,29,71
5948EY374,0,3
598280374,298,1010
59W107374,103,539
59X280374,66,170
5A19V6374,68,225
5E573W374,33,82
5T131T374,29,96
5WR752374,451,1474
5WX205374,3245,10710
5X7A11374,92,226
62X149374,7,44
646939374,4,10
675927374,17,113
67X87Y374,5,15
681854374,163,526
6909FA374,0,1
6909FF374,0,1
6909FR374,0,1
694825374,63,163
694W04374,65,231
696481374,10,42
69X022374,147,358
6A63E6374,37,160
6F084Y374,7,22
6F235W374,61,204
6F6E18374,25,72
6F870F374,30,84
6R131R374,68,357
6R676V374,0,2
6W1041374,20,57
6Y5204374,0,1
701462374,13,33
703T0T374,69,80
707WY9374,26,86
720W37374,0,1
737092374,74,229
73X309374,52,136
74E86E374,0,2
754270374,65,131
759851374,18,54
75R774374,12,29
75X600374,161,419
75X60A374,6,16
767AF6374,26,77
768387374,0,106
76E82V374,2,5
770838374,369,1292
773381374,35,82
793684374,75,162
7E820W374,54,181
7R3E76374,1011,3514
7R3Y01374,0,1
7R3Y03374,0,1
7VY608374,11,24
7Y758A374,22,80
8013X1374,14,42
821W99374,6,26
830276374,168,682
8365VV374,13,84
83F685374,99,328
854E74374,21,59
85Y0Y2374,18,52
8652E4374,13,34
868801374,11,23
870576374,0,1
8815R5374,1,5
885957374,2,31
888215374,14,38
888R79374,0,1
889WY8374,31,158
895A1E374,3,6
89V85R374,102,416
8AR474374,33,42
8R2462374,25,86
8R7330374,3,13
8W5E62374,29,79
905720374,197,407
007373374,82,172
00750W374,0,1
0086EA374,44,163
00996Y374,0,1
010WR4374,31,100
023399374,153,320
034TT9374,142,486
037195374,19,42
037234374,805,1789
0460EE374,156,590
053Y43374,0,11
057490374,102,246
07V44R374,4,174
087AR5374,113,307
089TT4374,4,7
0A6V20374,23,58
0AY757374,34,104
0Y112V374,36,99
101E89374,265,789
104327374,162,367
10W345374,6,23
117V0F374,2,13
127Y5V374,11,36
128788374,137,294
12A5E5374,134,400
13558A374,14,44
151W2F374,90,250
1553W4374,155,373
156612374,62,125
1608YE374,8,26
1688XX374,0,1
171925374,232,620
18156A374,128,341
183W56374,6,12
186V2V374,0,1
1885FV374,71,285
1889E1374,54,124
19873V374,9,35
19F82X374,48,135
1R744W374,11,41
1Y192R374,0,1
1Y7Y71374,152,725
1YF521374,1,2
2197E9374,364,1195
21A3Y9374,47,125
21X4E9374,48,138
222W40374,0,1
2320X0374,175,391
25311E374,0,1
25686X374,195,405
25X093374,25,64
26135F374,40,107
263367374,231,537
293539374,30,45
29F15X374,72,241
29XR10374,19,45
2A279W374,0,2
2A5E77374,23,76
2A811X374,53,64
2EW098374,155,380
2F560F374,929,2839
2V1F26374,104,281
2W20X4374,35,63
2YX582374,105,345
3026FF374,37,132
305003374,188,471
30A1X9374,0,1
3249FX374,161,426
33E707374,219,462
3411Y8374,18,69
348W2F374,76,247
34YW98374,46,153
352852374,180,631
36X60X374,56,198
36X85X374,289,716
3742X0374,74,199
379344374,366,783
387E03374,30,84
395402374,127,340
39906F374,0,1
3WE076374,283,4051
3X23R1374,85,285
3X23Y5374,65,208
3X24W2374,4,20
41469W374,2,4
4150A8374,131,425
420961374,167,505
42A6E2374,8,23
4426V9374,20,45
4524A9374,1,3
45X377374,289,978
467591374,153,442
48R163374,23,65
4A18V4374,24,69
4F995V374,33,96
4X668X374,9,9
4X8128374,64,89
4XW471374,43,91
53X430374,57,84
55X02W374,0,1
564330374,105,258
580V03374,27,60
58R109374,0,1
58R1F3374,0,1
58R719374,1,2
58RF87374,134,413
58RR59374,3,35
58RR90374,1,2
5F0333374,68,156
5F7E57374,15,57
5X8889374,147,429
60154Y374,0,5
603YY3374,239,976
629968374,317,653
62W250374,79,288
631677374,191,472
648E0A374,13,39
65687E374,48,88
66YW44374,19,59
684618374,3,14
685985374,22,35
69V6X1374,53,189
6A536F374,24,80
6E72V4374,3,13
6E990R374,0,1
6F19E1374,6,12
6F19E6374,9,31
6R99W4374,80,167
6Y0Y20374,2,7
6Y522Y374,391,1060
6YY614374,24,26
705396374,2,6
712AT3374,106,214
729FR2374,58,192
750356374,43,134
753696374,13,44
754415374,54,112
754874374,22,57
758132374,6,28
75A50F374,0,1
75F0A8374,56,287
763903374,27,82
